20181001|13136|V2.0
SCBSFF|SCBSET|0|
SCBSFF|SCBDV|0|
SCBSFF|SCBBANKING|0|
SCBSFF|SCBENERGY|0|
SCBSET|SCBDV|2|
SCBSET|SCBSFF|2|
SCBSET|SCBENERGY|2|
SCBSET|SCBBANKING|2|
SCBBANKING|SCBSET|2|
SCBBANKING|SCBDV|2|
SCBBANKING|SCBSFF|2|
SCBBANKING|SCBENERGY|2|
SCBENERGY|SCBDV|2|
SCBENERGY|SCBSET|2|
SCBENERGY|SCBBANKING|2|
SCBENERGY|SCBSFF|2|
SCBDV|SCBSET|2|
SCBDV|SCBSFF|2|
SCBDV|SCBBANKING|2|
SCBDV|SCBENERGY|2|
B-TNTV|B-TREASURY|0|UNIT
BFIXED|B-TREASURY|0|UNIT
BKA|B-TREASURY|0|UNIT
BKD|B-TREASURY|0|UNIT
BTP|B-TREASURY|0|UNIT
BTK|B-TREASURY|0|UNIT
BKIND|B-TREASURY|0|UNIT
B-SENIOR|B-TREASURY|2|UNIT
BGOLD|B-TREASURY|2|UNIT
B-ASIA|B-TREASURY|3|UNIT
B-NIPPON|B-TREASURY|3|UNIT
B-TNTV|BFIXED|0|UNIT
BFIXED|B-TNTV|0|UNIT
B-TREASURY|B-TNTV|0|UNIT
B-TREASURY|BFIXED|0|UNIT
BKA|B-TNTV|0|UNIT
BKA|BFIXED|0|UNIT
BKD|B-TNTV|0|UNIT
BKD|BFIXED|0|UNIT
BTP|B-TNTV|0|UNIT
BTP|BFIXED|0|UNIT
BTK|B-TNTV|0|UNIT
BTK|BFIXED|0|UNIT
BKIND|B-TNTV|0|UNIT
BKIND|BFIXED|0|UNIT
B-SENIOR|B-TNTV|2|UNIT
B-SENIOR|BFIXED|2|UNIT
BGOLD|B-TNTV|2|UNIT
BGOLD|BFIXED|2|UNIT
B-ASIA|B-TNTV|3|UNIT
B-ASIA|BFIXED|3|UNIT
B-NIPPON|B-TNTV|3|UNIT
B-NIPPON|BFIXED|3|UNIT
BERMF|BFRMF|0|UNIT
BFLRMF|BFRMF|0|UNIT
B-GLOBALRMF|BFRMF|3|UNIT
BCARERMF|BFRMF|3|UNIT
BGOLDRMF|BFRMF|2|UNIT
B-TNTV|B-SENIOR|0|UNIT
BFIXED|B-SENIOR|0|UNIT
B-TREASURY|B-SENIOR|0|UNIT
BKA|B-SENIOR|0|UNIT
BKD|B-SENIOR|0|UNIT
BTP|B-SENIOR|0|UNIT
BTK|B-SENIOR|0|UNIT
BKIND|B-SENIOR|0|UNIT
BGOLD|B-SENIOR|2|UNIT
B-ASIA|B-SENIOR|3|UNIT
B-NIPPON|B-SENIOR|3|UNIT
BERMF|BFLRMF|0|UNIT
BFRMF|BFLRMF|0|UNIT
B-GLOBALRMF|BFLRMF|3|UNIT
BCARERMF|BFLRMF|3|UNIT
BGOLDRMF|BFLRMF|2|UNIT
B-TNTV|BKA|0|UNIT
B-TNTV|BKD|0|UNIT
B-TNTV|BTP|0|UNIT
B-TNTV|BTK|0|UNIT
B-TNTV|BKIND|0|UNIT
B-TNTV|B-ASIA|0|UNIT
B-TNTV|B-NIPPON|0|UNIT
BFIXED|BKA|0|UNIT
BFIXED|BKD|0|UNIT
BFIXED|BTP|0|UNIT
BFIXED|BTK|0|UNIT
BFIXED|BKIND|0|UNIT
BFIXED|B-ASIA|0|UNIT
BFIXED|B-NIPPON|0|UNIT
B-TREASURY|BKA|0|UNIT
B-TREASURY|BKD|0|UNIT
B-TREASURY|BTP|0|UNIT
B-TREASURY|BTK|0|UNIT
B-TREASURY|BKIND|0|UNIT
B-TREASURY|B-ASIA|0|UNIT
B-TREASURY|B-NIPPON|0|UNIT
BKA|BKD|0|UNIT
BKA|BTP|0|UNIT
BKA|BTK|0|UNIT
BKA|BKIND|0|UNIT
BKA|B-ASIA|0|UNIT
BKA|B-NIPPON|0|UNIT
BKD|BKA|0|UNIT
BKD|BTP|0|UNIT
BKD|BTK|0|UNIT
BKD|BKIND|0|UNIT
BKD|B-ASIA|0|UNIT
BKD|B-NIPPON|0|UNIT
BTP|BKA|0|UNIT
BTP|BKD|0|UNIT
BTP|BTK|0|UNIT
BTP|BKIND|0|UNIT
BTP|B-ASIA|0|UNIT
BTP|B-NIPPON|0|UNIT
BTK|BKA|0|UNIT
BTK|BKD|0|UNIT
BTK|BTP|0|UNIT
BTK|BKIND|0|UNIT
BTK|B-ASIA|0|UNIT
BTK|B-NIPPON|0|UNIT
BKIND|BKA|0|UNIT
BKIND|BKD|0|UNIT
BKIND|BTP|0|UNIT
BKIND|BTK|0|UNIT
BKIND|B-ASIA|0|UNIT
BKIND|B-NIPPON|0|UNIT
B-SENIOR|BKA|2|UNIT
B-SENIOR|BKD|2|UNIT
B-SENIOR|BTP|2|UNIT
B-SENIOR|BTK|2|UNIT
B-SENIOR|BKIND|2|UNIT
B-SENIOR|B-ASIA|2|UNIT
B-SENIOR|B-NIPPON|2|UNIT
BGOLD|BKA|2|UNIT
BGOLD|BKD|2|UNIT
BGOLD|BTP|2|UNIT
BGOLD|BTK|2|UNIT
BGOLD|BKIND|2|UNIT
BGOLD|B-ASIA|2|UNIT
BGOLD|B-NIPPON|2|UNIT
B-ASIA|BKA|3|UNIT
B-ASIA|BKD|3|UNIT
B-ASIA|BTP|3|UNIT
B-ASIA|BTK|3|UNIT
B-ASIA|BKIND|3|UNIT
B-ASIA|B-NIPPON|3|UNIT
B-NIPPON|BKA|3|UNIT
B-NIPPON|BKD|3|UNIT
B-NIPPON|BTP|3|UNIT
B-NIPPON|BTK|3|UNIT
B-NIPPON|BKIND|3|UNIT
B-NIPPON|B-ASIA|3|UNIT
B-LTF|BLTF75|0|UNIT
B-LTF|BBASICDLTF|0|UNIT
BLTF75|B-LTF|0|UNIT
BLTF75|BBASICDLTF|0|UNIT
BBASICDLTF|B-LTF|0|UNIT
BBASICDLTF|BLTF75|0|UNIT
BERMF|B-GLOBALRMF|0|UNIT
BFLRMF|BERMF|0|UNIT
BFLRMF|B-GLOBALRMF|0|UNIT
BFRMF|BERMF|0|UNIT
BFRMF|B-GLOBALRMF|0|UNIT
B-GLOBALRMF|BERMF|3|UNIT
BCARERMF|BERMF|3|UNIT
BCARERMF|B-GLOBALRMF|3|UNIT
BGOLDRMF|BERMF|2|UNIT
BGOLDRMF|B-GLOBALRMF|2|UNIT
B-TNTV|BCARE|0|UNIT
BFIXED|BCARE|0|UNIT
B-TREASURY|BCARE|0|UNIT
BKA|BCARE|0|UNIT
BKD|BCARE|0|UNIT
BTP|BCARE|0|UNIT
BTK|BCARE|0|UNIT
BKIND|BCARE|0|UNIT
B-SENIOR|BCARE|2|UNIT
BGOLD|BCARE|2|UNIT
B-ASIA|BCARE|3|UNIT
B-NIPPON|BCARE|3|UNIT
BERMF|BCARERMF|0|UNIT
BFLRMF|BCARERMF|0|UNIT
BFRMF|BCARERMF|0|UNIT
B-GLOBALRMF|BCARERMF|3|UNIT
BGOLDRMF|BCARERMF|2|UNIT
B-TNTV|BGOLD|0|UNIT
BFIXED|BGOLD|0|UNIT
B-TREASURY|BGOLD|0|UNIT
BKA|BGOLD|0|UNIT
BKD|BGOLD|0|UNIT
BTP|BGOLD|0|UNIT
BTK|BGOLD|0|UNIT
BKIND|BGOLD|0|UNIT
B-SENIOR|BGOLD|2|UNIT
B-ASIA|BGOLD|3|UNIT
B-NIPPON|BGOLD|3|UNIT
BERMF|BGOLDRMF|0|UNIT
BFLRMF|BGOLDRMF|0|UNIT
BFRMF|BGOLDRMF|0|UNIT
B-GLOBALRMF|BGOLDRMF|3|UNIT
BCARERMF|BGOLDRMF|3|UNIT
CIMB-PRINCIPAL (FAM) DEF|CIMB-PRINCIPAL (FAM) EEF|2|
CIMB-PRINCIPAL (FAM) DEF|CIMB-PRINCIPAL SET50|2|
CIMB-PRINCIPAL (FAM) EEF|CIMB-PRINCIPAL SET50|2|
CIMB-PRINCIPAL (FAM) EEF|CIMB-PRINCIPAL (FAM) DEF|2|
CIMB-PRINCIPAL (FAM) FBVRMF|CIMB-PRINCIPAL (FAM) RMF|0|
CIMB-PRINCIPAL (FAM) FBVRMF|CIMB-PRINCIPAL (FAM) SET100RMF|0|
CIMB-PRINCIPAL (FAM) FBVRMF|CIMB-PRINCIPAL (FAM) RSRMF|1|
CIMB-PRINCIPAL (FAM) FBVRMF|CIMB-PRINCIPAL FIRMF|2|
CIMB-PRINCIPAL (FAM) FBVRMF|CIMB-PRINCIPAL PRMF|2|
CIMB-PRINCIPAL (FAM) FBVRMF|CIMB-PRINCIPAL EQRMF|2|
CIMB-PRINCIPAL (FAM) FBVRMF|CIMB-PRINCIPAL iPROPRMF|2|
CIMB-PRINCIPAL (FAM) FBVRMF|CIMB-PRINCIPAL APDIRMF|2|
CIMB-PRINCIPAL (FAM) FI|CIMB-PRINCIPAL (FAM) RMF|0|
CIMB-PRINCIPAL (FAM) FI|CIMB-PRINCIPAL (FAM) LTF|0|
CIMB-PRINCIPAL (FAM) FI|CIMB-PRINCIPAL (FAM) EEF|0|
CIMB-PRINCIPAL (FAM) FI|CIMB-PRINCIPAL (FAM) GCF|0|
CIMB-PRINCIPAL (FAM) FI|CIMB-PRINCIPAL (FAM) VF|0|
CIMB-PRINCIPAL (FAM) FI|CIMB-PRINCIPAL (FAM) SET100RMF|0|
CIMB-PRINCIPAL (FAM) FI|CIMB-PRINCIPAL (FAM) FBVRMF|0|
CIMB-PRINCIPAL (FAM) FI|CIMB-PRINCIPAL (FAM) RSRMF|0|
CIMB-PRINCIPAL (FAM) FI|CIMB-PRINCIPAL (FAM) DEF|0|
CIMB-PRINCIPAL (FAM) FI|CIMB-PRINCIPAL (FAM) GEF|0|
CIMB-PRINCIPAL (FAM) GCF|CIMB-PRINCIPAL GOLD8P|3|
CIMB-PRINCIPAL (FAM) GCF|CIMB-PRINCIPAL GOLD8P2|3|
CIMB-PRINCIPAL (FAM) GCF|CIMB-PRINCIPAL iGOLD-A|3|
CIMB-PRINCIPAL (FAM) GCF|CIMB-PRINCIPAL iGOLD-R|3|
CIMB-PRINCIPAL (FAM) GEF|CIMB-PRINCIPAL GIF|3|
CIMB-PRINCIPAL (FAM) GEF|CIMB-PRINCIPAL GEQ|3|
CIMB-PRINCIPAL (FAM) GEF|CIMB-PRINCIPAL APDI 3+3 (2)|3|
CIMB-PRINCIPAL (FAM) GEF|CIMB-PRINCIPAL EUEQ|3|
CIMB-PRINCIPAL (FAM) GEF|CIMB-PRINCIPAL GSA|3|
CIMB-PRINCIPAL (FAM) GEF|CIMB-PRINCIPAL KEQ|3|
CIMB-PRINCIPAL (FAM) GEF|CPAM GSCEQ-R|3|
CIMB-PRINCIPAL (FAM) GEF|CPAM KOEQ|3|
CIMB-PRINCIPAL (FAM) GEF|CPAM APDE|3|
CIMB-PRINCIPAL (FAM) GEF|CIMB-PRINCIPAL JEQ|3|
CIMB-PRINCIPAL (FAM) GEF|CIMB-PRINCIPAL APDI|3|
CIMB-PRINCIPAL (FAM) GEF|CIMB-PRINCIPAL CII|3|
CIMB-PRINCIPAL (FAM) LTF|CIMB-PRINCIPAL 70LTFD|3|
CIMB-PRINCIPAL (FAM) LTF|CIMB-PRINCIPAL LTF|3|
CIMB-PRINCIPAL (FAM) RMF|CIMB-PRINCIPAL (FAM) SET100RMF|3|
CIMB-PRINCIPAL (FAM) RMF|CIMB-PRINCIPAL (FAM) FBVRMF|3|
CIMB-PRINCIPAL (FAM) RMF|CIMB-PRINCIPAL (FAM) RSRMF|3|
CIMB-PRINCIPAL (FAM) RMF|CIMB-PRINCIPAL FIRMF|3|
CIMB-PRINCIPAL (FAM) RMF|CIMB-PRINCIPAL PRMF|3|
CIMB-PRINCIPAL (FAM) RMF|CIMB-PRINCIPAL EQRMF|3|
CIMB-PRINCIPAL (FAM) RMF|CIMB-PRINCIPAL iPROPRMF|3|
CIMB-PRINCIPAL (FAM) RMF|CIMB-PRINCIPAL APDIRMF|3|
CIMB-PRINCIPAL (FAM) RSRMF|CIMB-PRINCIPAL (FAM) RMF|1|
CIMB-PRINCIPAL (FAM) RSRMF|CIMB-PRINCIPAL (FAM) SET100RMF|1|
CIMB-PRINCIPAL (FAM) RSRMF|CIMB-PRINCIPAL (FAM) FBVRMF|3|
CIMB-PRINCIPAL (FAM) RSRMF|CIMB-PRINCIPAL FIRMF|3|
CIMB-PRINCIPAL (FAM) RSRMF|CIMB-PRINCIPAL PRMF|3|
CIMB-PRINCIPAL (FAM) RSRMF|CIMB-PRINCIPAL EQRMF|3|
CIMB-PRINCIPAL (FAM) RSRMF|CIMB-PRINCIPAL iPROPRMF|3|
CIMB-PRINCIPAL (FAM) RSRMF|CIMB-PRINCIPAL APDIRMF|3|
CIMB-PRINCIPAL (FAM) SET100RMF|CIMB-PRINCIPAL (FAM) RMF|0|
CIMB-PRINCIPAL (FAM) SET100RMF|CIMB-PRINCIPAL (FAM) FBVRMF|2|
CIMB-PRINCIPAL (FAM) SET100RMF|CIMB-PRINCIPAL (FAM) RSRMF|2|
CIMB-PRINCIPAL (FAM) SET100RMF|CIMB-PRINCIPAL FIRMF|2|
CIMB-PRINCIPAL (FAM) SET100RMF|CIMB-PRINCIPAL PRMF|2|
CIMB-PRINCIPAL (FAM) SET100RMF|CIMB-PRINCIPAL EQRMF|2|
CIMB-PRINCIPAL (FAM) SET100RMF|CIMB-PRINCIPAL iPROPRMF|2|
CIMB-PRINCIPAL (FAM) SET100RMF|CIMB-PRINCIPAL APDIRMF|2|
CIMB-PRINCIPAL 70LTFD|CIMB-PRINCIPAL (FAM) LTF|4|
CIMB-PRINCIPAL 70LTFD|CIMB-PRINCIPAL LTF|4|
CIMB-PRINCIPAL APDI|CIMB-PRINCIPAL (FAM) GEF|6|
CIMB-PRINCIPAL APDI|CIMB-PRINCIPAL CII|6|
CIMB-PRINCIPAL APDI|CPAM APDE|6|
CIMB-PRINCIPAL APDI|CIMB-PRINCIPAL APDI 3+3 (2)|6|
CIMB-PRINCIPAL APDI|CPAM KOEQ|6|
CIMB-PRINCIPAL APDI|CPAM GSCEQ-R|6|
CIMB-PRINCIPAL APDI|CIMB-PRINCIPAL KEQ|6|
CIMB-PRINCIPAL APDI|CIMB-PRINCIPAL JEQ|6|
CIMB-PRINCIPAL APDI|CIMB-PRINCIPAL GSA|6|
CIMB-PRINCIPAL APDI|CIMB-PRINCIPAL EUEQ|6|
CIMB-PRINCIPAL APDI|CIMB-PRINCIPAL GEQ|6|
CIMB-PRINCIPAL APDI|CIMB-PRINCIPAL GIF|6|
CIMB-PRINCIPAL APDI 3+3 (2)|CIMB-PRINCIPAL iDIV-A|6|
CIMB-PRINCIPAL APDI 3+3 (2)|CIMB-PRINCIPAL iDIV-R|6|
CIMB-PRINCIPAL APDI 3+3 (2)|CIMB-PRINCIPAL iDIV-D|6|
CIMB-PRINCIPAL APDI 3+3 (2)|CIMB-PRINCIPAL TREASURY|3|
CIMB-PRINCIPAL APDI 3+3 (2)|CIMB-PRINCIPAL 70LTFD|6|
CIMB-PRINCIPAL APDI 3+3 (2)|CIMB-PRINCIPAL PRMF|6|
CIMB-PRINCIPAL APDI 3+3 (2)|CIMB-PRINCIPAL LTF|6|
CIMB-PRINCIPAL APDI 3+3 (2)|CIMB-PRINCIPAL EQRMF|6|
CIMB-PRINCIPAL APDI 3+3 (2)|CIMB-PRINCIPAL DAILY FIX|6|
CIMB-PRINCIPAL APDI 3+3 (2)|CIMB-PRINCIPAL SET50|6|
CIMB-PRINCIPAL APDI 3+3 (2)|CIMB-PRINCIPAL CII|6|
CIMB-PRINCIPAL APDI 3+3 (2)|CIMB-PRINCIPAL iPROP-R|6|
CIMB-PRINCIPAL APDI 3+3 (2)|CIMB-PRINCIPAL iPROP-D|6|
CIMB-PRINCIPAL APDI 3+3 (2)|CIMB-PRINCIPAL iDAILY-A|6|
CIMB-PRINCIPAL APDI 3+3 (2)|CIMB-PRINCIPAL iDAILY-R|6|
CIMB-PRINCIPAL APDI 3+3 (2)|CIMB-PRINCIPAL iDAILY-D|6|
CIMB-PRINCIPAL APDI 3+3 (2)|CIMB-PRINCIPAL iPROP-A|6|
CIMB-PRINCIPAL APDI 3+3 (2)|CIMB-PRINCIPAL APDI|6|
CIMB-PRINCIPAL APDI 3+3 (2)|CIMB-PRINCIPAL iGOLD-A|6|
CIMB-PRINCIPAL APDI 3+3 (2)|CIMB-PRINCIPAL iGOLD-R|6|
CIMB-PRINCIPAL APDI 3+3 (2)|CIMB-PRINCIPAL iFIXED-A|6|
CIMB-PRINCIPAL APDI 3+3 (2)|CIMB-PRINCIPAL iFIXED-R|6|
CIMB-PRINCIPAL APDI 3+3 (2)|CIMB-PRINCIPAL iPROPRMF|6|
CIMB-PRINCIPAL APDI 3+3 (2)|CIMB-PRINCIPAL iBALANCED-R|6|
CIMB-PRINCIPAL APDI 3+3 (2)|CIMB-PRINCIPAL JEQ|6|
CIMB-PRINCIPAL APDI 3+3 (2)|CIMB-PRINCIPAL KEQ|6|
CIMB-PRINCIPAL APDI 3+3 (2)|CIMB-PRINCIPAL EUHY|6|
CIMB-PRINCIPAL APDI 3+3 (2)|CIMB-PRINCIPAL APDIRMF|6|
CIMB-PRINCIPAL APDI 3+3 (2)|CIMB-PRINCIPAL DPLUS|6|
CIMB-PRINCIPAL APDI 3+3 (2)|CIMB-PRINCIPAL GBF|6|
CIMB-PRINCIPAL APDI 3+3 (2)|CIMB-PRINCIPAL EUEQ|6|
CIMB-PRINCIPAL APDI 3+3 (2)|CIMB-PRINCIPAL GSA|6|
CIMB-PRINCIPAL APDI 3+3 (2)|CIMB-PRINCIPAL GIF|6|
CIMB-PRINCIPAL APDI 3+3 (2)|CIMB-PRINCIPAL SIF|6|
CIMB-PRINCIPAL APDI 3+3 (2)|CIMB-PRINCIPAL GEQ|6|
CIMB-PRINCIPAL APDI 3+3 (2)|CIMB-PRINCIPAL GREITs|6|
CIMB-PRINCIPAL APDI 3+3 (2)|CIMB-PRINCIPAL GOPP-A|6|
CIMB-PRINCIPAL APDIRMF|CIMB-PRINCIPAL (FAM) RMF|6|
CIMB-PRINCIPAL APDIRMF|CIMB-PRINCIPAL (FAM) SET100RMF|6|
CIMB-PRINCIPAL APDIRMF|CIMB-PRINCIPAL (FAM) FBVRMF|6|
CIMB-PRINCIPAL APDIRMF|CIMB-PRINCIPAL (FAM) RSRMF|6|
CIMB-PRINCIPAL APDIRMF|CIMB-PRINCIPAL FIRMF|6|
CIMB-PRINCIPAL APDIRMF|CIMB-PRINCIPAL PRMF|6|
CIMB-PRINCIPAL APDIRMF|CIMB-PRINCIPAL EQRMF|6|
CIMB-PRINCIPAL APDIRMF|CIMB-PRINCIPAL iPROPRMF|6|
CIMB-PRINCIPAL CII|CIMB-PRINCIPAL (FAM) GEF|6|
CIMB-PRINCIPAL CII|CIMB-PRINCIPAL APDI|6|
CIMB-PRINCIPAL CII|CIMB-PRINCIPAL JEQ|6|
CIMB-PRINCIPAL CII|CIMB-PRINCIPAL GEQ|6|
CIMB-PRINCIPAL CII|CIMB-PRINCIPAL GIF|6|
CIMB-PRINCIPAL CII|CIMB-PRINCIPAL EUEQ|6|
CIMB-PRINCIPAL CII|CIMB-PRINCIPAL APDI 3+3 (2)|6|
CIMB-PRINCIPAL CII|CIMB-PRINCIPAL GSA|6|
CIMB-PRINCIPAL CII|CIMB-PRINCIPAL KEQ|6|
CIMB-PRINCIPAL CII|CPAM GSCEQ-R|6|
CIMB-PRINCIPAL CII|CPAM KOEQ|6|
