20181001|569|V2.0
KF-GBLVAL|RED|E|20181029
KF-GBLVAL|SWO|E|20181029
KF-GBLVAL|RED|E|20181030
KF-GBLVAL|SWO|E|20181030
KF-GBLVAL|RED|E|20181031
KF-GBLVAL|SWO|E|20181031
KF-GBLVAL|RED|E|20181101
KF-GBLVAL|SWO|E|20181101
KF-GBLVAL|RED|E|20181102
KF-GBLVAL|SWO|E|20181102
KF-GBLVAL|RED|E|20181217
KF-GBLVAL|SWO|E|20181217
KF-GBLVAL|RED|E|20181218
KF-GBLVAL|SWO|E|20181218
KF-GBLVAL|RED|E|20181219
KF-GBLVAL|SWO|E|20181219
KF-GBLVAL|RED|E|20181220
KF-GBLVAL|SWO|E|20181220
KF-GBLVAL|RED|E|20181221
KF-GBLVAL|SWO|E|20181221
PHATRA PLUS|SUB|O|20181001
PHATRA PLUS|SUB|O|20181002
PHATRA PLUS|SUB|O|20181003
PHATRA PLUS|SUB|O|20181004
PHATRA PLUS|SUB|O|20181005
PHATRA PLUS|SUB|O|20181008
PHATRA PLUS|SUB|O|20181009
PHATRA PLUS|SUB|O|20181010
PHATRA PLUS|SUB|O|20181011
PHATRA PLUS|SUB|O|20181012
PHATRA PLUS|SUB|O|20181016
PHATRA PLUS|SUB|O|20181017
PHATRA PLUS|SUB|O|20181018
PHATRA PLUS|SUB|O|20181019
PHATRA PLUS|SUB|O|20181022
PHATRA PLUS|SUB|O|20181024
PHATRA PLUS|SUB|O|20181025
PHATRA PLUS|SUB|O|20181026
PHATRA PLUS|SUB|O|20181029
PHATRA PLUS|SUB|O|20181030
PHATRA PLUS|SUB|O|20181031
PHATRA PLUS|SUB|O|20181101
PHATRA PLUS|SUB|O|20181102
PHATRA PLUS|SUB|O|20181105
PHATRA PLUS|SUB|O|20181106
PHATRA PLUS|SUB|O|20181107
PHATRA PLUS|SUB|O|20181108
PHATRA PLUS|SUB|O|20181109
PHATRA PLUS|SUB|O|20181112
PHATRA PLUS|SUB|O|20181113
PHATRA PLUS|SUB|O|20181114
PHATRA PLUS|SUB|O|20181115
PHATRA PLUS|SUB|O|20181116
PHATRA PLUS|SUB|O|20181119
PHATRA PLUS|SUB|O|20181120
PHATRA PLUS|SUB|O|20181121
PHATRA PLUS|SUB|O|20181122
PHATRA PLUS|SUB|O|20181123
PHATRA PLUS|SUB|O|20181126
PHATRA PLUS|SUB|O|20181127
PHATRA PLUS|SUB|O|20181128
PHATRA PLUS|SUB|O|20181129
PHATRA PLUS|SUB|O|20181130
PHATRA PLUS|SUB|O|20181203
PHATRA PLUS|SUB|O|20181204
PHATRA PLUS|SUB|O|20181206
PHATRA PLUS|SUB|O|20181207
PHATRA PLUS|SUB|O|20181211
PHATRA PLUS|SUB|O|20181212
PHATRA PLUS|SUB|O|20181213
PHATRA PLUS|SUB|O|20181214
PHATRA PLUS|SUB|O|20181217
PHATRA PLUS|SUB|O|20181218
PHATRA PLUS|SUB|O|20181219
PHATRA PLUS|SUB|O|20181220
PHATRA PLUS|SUB|O|20181221
PHATRA PLUS|SUB|O|20181224
PHATRA PLUS|SUB|O|20181225
PHATRA PLUS|SUB|O|20181226
PHATRA PLUS|SUB|O|20181227
PHATRA PLUS|SUB|O|20181228
PHATRA PROP|RED|O|20181001
PHATRA PROP|SWO|O|20181001
PHATRA PROP|RED|O|20181002
PHATRA PROP|SWO|O|20181002
PHATRA PROP|RED|O|20181003
PHATRA PROP|SWO|O|20181003
PHATRA PROP|RED|O|20181004
PHATRA PROP|SWO|O|20181004
PHATRA PROP|RED|O|20181005
PHATRA PROP|SWO|O|20181005
PHATRA PROP|RED|O|20181008
PHATRA PROP|SWO|O|20181008
PHATRA PROP|RED|O|20181009
PHATRA PROP|SWO|O|20181009
PHATRA PROP|RED|O|20181010
PHATRA PROP|SWO|O|20181010
PHATRA PROP|RED|O|20181011
PHATRA PROP|SWO|O|20181011
PHATRA PROP|RED|O|20181012
PHATRA PROP|SWO|O|20181012
PHATRA PROP|RED|O|20181016
PHATRA PROP|SWO|O|20181016
PHATRA PROP|RED|O|20181017
PHATRA PROP|SWO|O|20181017
PHATRA PROP|RED|O|20181018
PHATRA PROP|SWO|O|20181018
PHATRA PROP|RED|O|20181019
PHATRA PROP|SWO|O|20181019
